alpha,Experimental,Panel Method
-17.2794,-1.2532299999999998,-1.9444916463488937
-16.2296,-1.34704,-1.8397591788198189
-15.8616,-1.54416,-1.8024539054619813
-15.1713,-1.51805,-1.7316787778115008
-14.3133,-1.44038,-1.6423129480745557
-13.2811,-1.3712,-1.5328584310740014
-12.2535,-1.25912,-1.4219150214995118
-11.2222,-1.18135,-1.3087331077398094
-10.1947,-1.0692700000000002,-1.1942815563618432
-8.14138,-0.827958,-0.9611121047800626
-6.25579,-0.638207,-0.7426133685719335
-5.228219999999999,-0.5261279999999999,-0.6221255557470814
-4.19972,-0.42262700000000003,-0.5007273260307707
-1.96944,-0.215533,-0.23547144782899782
0.0,0.0,1.546844054754748e-11
0.9400059999999999,0.120611,0.11245799345914079
1.96944,0.215533,0.2354714478598878
2.99515,0.34476999999999997,0.35773771550032263
3.85131,0.43959899999999996,0.45944883515144297
4.8788800000000005,0.551678,0.5809735700038331
5.90831,0.6466,0.7019687614377621
7.96346,0.870758,0.9406582725015129
10.1891,1.12074,1.193653437894345
11.0471,1.19842,1.2893439627305106
13.1088,1.3625200000000002,1.5143900625809146
16.3759,1.59591,1.8545060606195911
16.5678,1.4244299999999999,1.873775986212857
17.2971,1.0902399999999999,1.9462354818820844
